id,kind,phase,decision,title,upstream_refs,acceptance,reason,aliases
U7,capability,9,absorb,Copilot Responses replay 与 native compaction usage,b9146a47bc86;bce17bf6a2e2;8121dbb1660a;8c62a922965a;ec6982fbcf11,阶段9 route policy 与 usage 测试通过,本地缺少完整 route-specific replay 链,
U8,capability,10,absorb,MCP ResourceLink EmbeddedResource Audio materialization,1d98f8dd95ab;284a3cd47e8b,阶段10多 content block 测试通过,本地会丢失这些 MCP content block,
U9,capability,12,absorb,terminal cwd skill slug patch hunk 正确性,7e84d2b5a43d;370ebf2d3509;dfeedf613dcd,阶段12三项独立回归通过,本地缺少对应行为证明,
U10,capability,11,absorb,automation claim 与 exactly-once,dabae386ef19;9b72995a1dc6;ffa525754da4;cd5371876117;9884b4faad0f,阶段11多进程 claim/heartbeat 通过；Chronos 缺席按设计 skip-with-reason,需吸收到 Hermes automation 内核而非复制上游产品面,
U11,capability,11,absorb,active-work drain 与 quiesce,1da89a5f3dd4;8f18fa104f1b;021ee3454646;915f1bf1bc2f,阶段11 API TUI worker 共用 drain 测试通过,本地需要 transport-neutral 生命周期协议,
U12,capability,12,absorb,mixed tool batch segmentation,271a9d8ec6ad,阶段12风险分段并发与排序测试通过,必须在 R1 与 U2 后吸收,
D1,decision,2,equivalent,MoA 保持工具形态并统一计量,architecture-decision,阶段2实现符合已批准决策,架构决策已经在执行计划冻结,
D2,decision,8,equivalent,Subagent 同步异步由主 agent 决策,architecture-decision,显式模式/统一生命周期/取消/重启/typed event 专项及全量通过,SubagentExecutionService 落实冻结决策,
D3,decision,11,equivalent,Kanban 与 team mission 职责分离,architecture-decision,阶段11 owner 审计符合决策,架构决策已经在执行计划冻结,
D4,decision,7,equivalent,Approval hook 只发意图并由统一 gate 裁决,architecture-decision,阶段7实现符合已批准决策,架构决策已经在执行计划冻结,
SEC-CMD-01,security,4,absorb,git sudo 缩写审批绕过,74e59b8b6,阶段4 handler 零调用绕过测试通过,命令安全边界需统一重演,
SEC-CMD-02,security,4,absorb,subshell 与花括号 hardline 绕过,6a6fd4211,阶段4 handler 零调用绕过测试通过,高危命令绕过,S5
SEC-CMD-03,security,4,absorb,rm 根路径塌缩,51feecc2b,阶段4 handler 零调用绕过测试通过,高危命令绕过,S4
SEC-CMD-04,security,4,absorb,rm hardline command-position 锚定,7534b5be2,阶段4 handler 零调用绕过测试通过,命令安全边界需统一重演,
SEC-CMD-05,security,4,absorb,shell 换行续行绕过,17f07aebd,阶段4 handler 零调用绕过测试通过,高危命令绕过,S3
SEC-CMD-06,security,4,absorb,env config 写入尾参与注释绕过,7bfdc0bca,阶段4 handler 零调用绕过测试通过,命令安全边界需统一重演,
SEC-CMD-07,security,4,absorb,hardline rm 引号与 HOME 绕过,a81b519d4,阶段4 handler 零调用绕过测试通过,高危命令绕过,S1
SEC-CMD-08,security,4,absorb,IFS 空白混淆,0c0b4b698,阶段4 handler 零调用绕过测试通过,v2 记录 SHA 有笔误且行为本地未证明,S2
SEC-CMD-09,security,4,absorb,heredoc NFKC 与 env 过滤,3b2bb30c5,阶段4组合 fuzz 测试通过,命令安全边界需统一重演,
SEC-CMD-10,security,0,equivalent,smart approval prompt injection guard,8fcb8136b,阶段0既有 smart approval 回归通过,本地已有等价 guard,
SEC-PATH-01,security,4,absorb,proc auxv pagemap 读取泄漏,868fa9566,阶段4敏感路径测试通过,路径安全边界需统一重演,
SEC-PATH-02,security,4,absorb,proc smaps numa_maps mem 阻断,64e6b98ba,阶段4敏感路径测试通过,路径安全边界需统一重演,
SEC-PATH-03,security,4,absorb,@file 上下文引用锚定,10a54ccc2,阶段4 canonical path 测试通过,路径安全边界需统一重演,
SEC-PATH-04,security,0,skip-with-reason,Teams 录音 display name 去目录,359054331,账本 skip reason 复核通过,Dovie 当前不启用 Teams surface,
SEC-PATH-05,security,4,absorb,mcp-tokens 敏感目录 deny,42d017469,阶段4敏感路径测试通过,路径安全边界需统一重演,
SEC-PATH-06,security,4,absorb,拒绝根级凭据仓,100e7be20,阶段4敏感路径测试通过,路径安全边界需统一重演,
SEC-PATH-07,security,4,absorb,patch Move header 敏感路径,e6f66bc0f,阶段4 patch move 测试通过,路径安全边界需统一重演,
SEC-PATH-08,security,4,absorb,session id 覆盖 artifact 与 API 边界,ea1372d2a,阶段4端到端 traversal 测试通过,路径安全边界需统一重演,
SEC-PATH-09,security,4,absorb,session id 文件名 sanitizer,1debd5e8f,阶段4端到端 traversal 测试通过,高危路径绕过,S7
SEC-PATH-10,security,4,absorb,quick snapshot id 与路径校验,ae4669990,阶段4 snapshot traversal 测试通过,路径安全边界需统一重演,
SEC-CRED-01,security,3,absorb,剥离动态 Hermes secret,a658f3b28,阶段3真实子进程环境快照通过,高危凭据泄漏,S6
SEC-CRED-02,security,3,absorb,credential-safe 子进程 env,9c6229ce2,阶段3真实子进程环境快照通过,凭据边界需统一重演,
SEC-CRED-03,security,3,absorb,后台前台 env dump 脱敏,c1c179a23,阶段3 secret mutation 测试通过,凭据边界需统一重演,
SEC-CRED-04,security,3,absorb,Fireworks API key 脱敏,c701c6dad,阶段3 secret mutation 测试通过,凭据边界需统一重演,
SEC-CRED-05,security,3,absorb,URL userinfo token 脱敏,3483424aa,阶段3 secret mutation 测试通过,凭据边界需统一重演,
SEC-CRED-06,security,3,absorb,browser CDP endpoint 日志脱敏,576424cc1,阶段3 secret mutation 测试通过,凭据边界需统一重演,
SEC-CRED-07,security,0,equivalent,HERMES_TIMEZONE shell 注入防护,84fcbbf6a,阶段0既有 shlex 与 child env 回归通过,本地已有等价 quoting 与 env 转换,
SEC-NET-01,security,3,absorb,httpx redirect guard 绕过,500c2b1e4,阶段3 redirect mutation 测试通过,高危 SSRF,S8
SEC-NET-02,security,3,absorb,Yuanbao media URL SSRF,d65468e7f,阶段3统一 URL policy 测试通过,网络边界需统一重演,
SEC-NET-03,security,3,absorb,IPv6 scope id URL 检查绕过,ed966696e,阶段3 IPv6 与 DNS 多地址混合解析测试通过,网络边界需统一重演,
SEC-NET-04,security,3,absorb,loopback 空 WebSocket peer fail-closed,ed3d12a76,阶段3空 peer 测试通过,网络边界需统一重演,
SEC-PROMPT-01,security,4,absorb,LSP diagnostic 字段消毒,ea9f8bd16,阶段4不可信诊断测试通过,prompt 边界需统一重演,
SEC-PROMPT-02,security,4,absorb,AGENTS SOUL Praxis 误伤修正,099df3cd8,阶段4指令来源分类测试通过,prompt 边界需统一重演,
SEC-PROMPT-03,security,4,absorb,cron invisible Unicode 集合对齐,fbfccbb3e,阶段4 Unicode property test 通过,prompt 边界需统一重演,
SEC-PLUGIN-01,security,4,absorb,tool override 绑定 handler 模块,12f5624a7,阶段4 plugin capability 测试通过,插件边界需统一重演,
SEC-PLUGIN-02,security,4,absorb,registry sink override opt-in,310122231,阶段4默认拒绝与显式允许测试通过,插件边界需统一重演,
SEC-PLUGIN-03,security,4,absorb,operator 显式 override opt-in,179eb8c2a,阶段4默认拒绝与显式允许测试通过,插件边界需统一重演,
SEC-PLUGIN-04,security,4,absorb,deregister policy 使用 caller package root,db0fd8f29,阶段4跨 package 权限测试通过,插件边界需统一重演,
SEC-PLUGIN-05,security,4,absorb,hermes 0day 综合加固,7726ce304,阶段4 dashboard MCP API key 测试通过,插件与 API 安全边界需统一重演,
SEC-PLUGIN-06,security,0,superseded,dashboard plugin backend only bundled,8845f3316,由 SEC-PLUGIN-07 的决策复核覆盖,上游随后明确 revert 此限制,SEC-PLUGIN-07
SEC-PLUGIN-07,security,0,equivalent,revert bundled-only dashboard plugin,c42d44cb2,阶段0 plugin 发现回归通过,当前本地不应吸收已撤销限制,
SEC-SURFACE-01,security,4,absorb,debug share 显式同意,54f32af4a,阶段4 consent 测试通过,通用 CLI 安全边界仍适用,
SEC-SURFACE-02,security,0,skip-with-reason,Slack thread sender 鉴权,0198713c3,账本 skip reason 复核通过,Dovie 当前不启用 Slack surface,
SEC-SURFACE-03,security,0,skip-with-reason,Feishu webhook 与 WhatsApp guard,9e490138a,账本 skip reason 复核通过,Dovie 当前不启用对应 messaging surface,
SEC-SURFACE-04,security,0,skip-with-reason,WeCom callback 预鉴权限流,74541beb9,账本 skip reason 复核通过,Dovie 当前不启用 WeCom surface,
SEC-SURFACE-05,security,4,absorb,Tirith 崩溃 circuit breaker,07cc567df,阶段4 fail-closed 与 breaker 测试通过,通用执行安全边界仍适用,
SEC-SURFACE-06,security,0,equivalent,Kanban 脱敏与 markdown 消毒,3b56d3a29;5b45fb269,阶段0既有 kanban redaction 回归通过,本地已有等价实现,
LG1,capability,13,absorb,profile-scoped Learning Graph,96552c31e,阶段13图谱不变量与 profile 隔离测试通过,当前成长摘要没有统一图谱事实源,
LG2,capability,13,absorb,Journey 成长时间线与 CLI,e971dc1e9;ce82b0c3c;7e037e1a3,阶段13 CLI 与 timeline 合同通过,当前没有可回放成长时间线,
LG3,capability,13,absorb,Journey 节点统一查看编辑删除,a0576560e;08be8e5ef;2fc67a3a5,阶段13原子 mutation 与 stale id 测试通过,当前消费端缺少领域 mutation seam,
LG4,architecture,13,superseded,成长摘要改为 Learning Graph 派生,96552c31e,阶段13 summary/graph 同源测试通过,移除现有独立 memory/skill 计数规则,
BR1,capability,13,absorb,后台复盘 aux 路由、隔离与安全成长写入,87c4a5ebb;e2fa509bf;b5267671f;437dcacbb;2e828d4b7;17cfa0f0a;8ef006933;20871c1d9;96bc524a7;525e1e775;56abbaeac,阶段13后台复盘成本、隔离、先读后写、所有权与可恢复归档测试通过,当前固定主模型完整历史且隔离和技能写入边界不完整,
UP1,capability,14,absorb,结构化文档读取与统一图像来源,tools/read_extract.py;tools/image_source.py,分页提取、路径边界、远程与容器图像、SVG 和非原生格式专项测试通过,文件读取和视觉工具需要共享安全来源解析与规范化边界,
UP2,capability,14,absorb,Skill AST 深度审计,tools/skills_ast_audit.py;hermes_cli/skills_hub.py,CLI 与 slash deep audit 合同及 AST 专项测试通过,纯文本审计无法证明危险调用和语法结构,
UP3,capability,14,absorb,后台线程上下文传播与 daemon 池,tools/thread_context.py;tools/daemon_pool.py,ContextVar 归属与后台退出专项测试通过,裸线程池会丢失请求归属并阻塞进程退出,
UP4,architecture,14,superseded,Project 一等领域能力,hermes_cli/projects_db.py;tools/project_tools.py;tui_gateway/projects.py,领域服务、统一状态库、CLI/RPC/Agent tools 与 Git 投影专项测试通过,用统一 project repository 取代上游独立 projects.db,UP4
UP5,architecture,14,superseded,Compute host 隔离运行时,tui_gateway/compute_host.py;tui_gateway/host_supervisor.py,worker supervisor、租约、frame router 与隔离开关专项测试通过,本地 orchestration 分层覆盖且强化上游单体 host 实现,UP5
UP6,capability,14,absorb,Computer Use 诊断与权限入口,tools/computer_use/doctor.py;tools/computer_use/permissions.py;hermes_cli/subcommands/doctor.py,CLI 与 profile-scoped Web API 诊断和授权专项测试通过,Computer Use 需要可操作的依赖和系统权限闭环,
UP7,capability,14,absorb,xAI 视频编辑与扩展,tools/xai_video_tools.py,provider plugin 委派、动态工具发现和 toolset 专项测试通过,生成之外还需编辑和扩展能力且凭据归 provider owner,
UP8,security,14,absorb,execute_code 审批和 RPC token 边界,tools/approval.py;tools/code_execution_tool.py,smart-deny 单次 owner override、host mount 检查、env scrub 与 RPC token 专项测试通过,代码执行子进程和本地 RPC 必须共享最小权限边界,
UP9,capability,14,absorb,Project 与会话 Git 上下文统一,tui_gateway/git_probe.py;tui_gateway/project_tree.py,项目发现、repo root/branch 持久化、session.info 和树投影专项测试通过,Project 选择必须改变规范化会话工作区而不是维护旁路状态,
UP10,architecture,14,superseded,内置消息平台 Plugin 化,plugins/platforms;channels/builtin_platform_plugins.py,全部内置 manifest 经统一 registry 注册且 Gateway 优先从 Plugin 构造,复用本地分层 channel adapter 并取代上游每插件复制巨型实现,UP10
UP11,capability,14,absorb,Telegram username chat target,plugins/platforms/telegram/telegram_ids.py,工具目标解析、独立发送与 adapter 出站的数字和 username 专项测试通过,Telegram Bot API 合法 username 目标不能被强制 int 转换,
UP12,capability,14,absorb,Slack Block Kit final projection,plugins/platforms/slack/block_kit.py,纯 renderer、单块发送、final edit、fallback 与 feedback 专项测试通过,结构化 Slack 输出属于可选投影且必须保留 text fallback,
UP13,capability,14,absorb,Discord continuous voice mixer,plugins/platforms/discord/voice_mixer.py,PCM 混音、duck、ack、join/play/leave 降级专项测试通过,连续语音和环境音必须由单一 AudioSource 混合避免播放竞态,
UP14,capability,14,absorb,Feishu meeting invitation event,plugins/platforms/feishu/feishu_meeting_invite.py,WebSocket/Webhook 解析、去重、用户路由和 user_id 发送专项测试通过,会议邀请需进入统一 Gateway 会话和交付管线,
UP15,capability,14,absorb,Checkpoint 与文件工具共享规范路径,hermes_cli/checkpoints.py;tools/checkpoint_manager.py;tools/file_tools.py,checkpoint 路径与 tool executor 专项测试通过,路径等价必须在单一 canonical seam 收敛而不能由各入口分别展开,
UP16,capability,14,absorb,Matrix 容量与 Feishu 富文本投影,channels/platforms/matrix.py;channels/platforms/feishu.py,Matrix 16KiB 分段和 Feishu post+md 专项测试通过,平台限制和富文本降级属于 delivery adapter 的确定性合同,
UP17,capability,14,absorb,Gateway prompt tail 冻结提示,hermes_gateway/agent_input_preparation.py;apps/desktop/src/app/session/hooks/use-message-stream/gateway-event.ts,prompt tail 与跨 turn 回归测试通过,运行期提示必须随 turn 输入冻结而不能读取漂移的后续状态,
UP18,capability,14,absorb,Kimi 与 Moonshot provider 身份统一,agent/moonshot_schema.py;plugins/model-providers/kimi-coding/__init__.py,provider listing、schema、thinking replay 和 endpoint 专项测试通过,模型名和 endpoint 都必须解析到同一 provider policy,
UP19,architecture,14,superseded,Custom endpoint 领域服务,apps/desktop/src/app/settings/custom-endpoints-settings.tsx;plugins/model-providers/custom/plugin.yaml,创建更新删除、持久化和 stale endpoint 回归测试通过,本地以 hermes_cli custom endpoint service 取代 UI 直接拼接配置,UP19
UP20,capability,14,absorb,message.interim 规范事件,apps/desktop/src/app/session/hooks/use-message-stream/interim-sealing.test.tsx;apps/desktop/src/app/session/hooks/use-message-stream/gateway-event.ts,Gateway callback、共享 JSON-RPC 和 Doxie projection 专项测试通过,interim assistant 内容必须是可封口的规范事件而不是 UI 私有缓存,
UP21,capability,14,absorb,LSP stale diagnostics 淘汰,agent/lsp/client.py;agent/lsp/manager.py,版本推进与迟到 diagnostics 专项测试通过,旧文档版本的诊断不得覆盖新版本事实,
UP22,architecture,14,superseded,Skill Plugin MCP 三层资产图与 Figma 能力,apps/desktop/src/app/settings/plugins-settings.tsx;apps/desktop/src/app/skills/mcp-tab.tsx;hermes_cli/mcp_catalog.py,资产越界、Plugin Skill、共享 MCP catalog、Figma 离线安装和 capability market 专项测试通过,本地由 plugin manifest 统一声明 Skill 与 MCP 并将 Figma 作为一个能力包而非复制三份目录,UP22
UP23,architecture,14,superseded,Auxiliary task 单一目录,hermes_cli/main.py;hermes_cli/web_server.py;hermes_cli/plugins.py,默认配置、CLI、Dashboard 与 Plugin reserved key 精确一致测试通过,本地 auxiliary_tasks catalog 取代三个独立维护列表,UP23
UP24,product,14,absorb,Desktop 多窗口与电源生命周期,apps/desktop/electron/main.ts;apps/desktop/electron/session-windows.ts;apps/desktop/electron/event-dedupe.ts;apps/desktop/electron/power-save.ts,Doxie window manager、event dedupe、menu、keep-awake 和 Electron 聚合测试通过,多窗口必须由主进程生命周期 owner 统一管理并在 renderer 保持事件幂等,
